Notes,"Auto (only x, y and -1 will be used)",Main catego,Sub catego name,sub gatego acrynom,Four letter name,"Tail, chain B (GL2, sn-1)","Tail, chain A (GL1, sn-2)","Tail, chain C (only used in TAG)",tail name,Common name,"Description (e.g. mapped structure, example of underlying AA names)",Keywords,Parameterization,Ref(s),Created,Author(s),Modified,Ref area per lipid (nm^2),Warninigs/Notes,,Generator -alhead,Generator -allink,Generator -altail,Sim setup -charge,General notes
,x,PP,Piperizine head +2 charge,PP,DNPP,CCCDCC,CCCDCC,,di-C24:1,di-C24:1 Collection of Ionizable Martini 3 lipids  (DNPP),Piperizine head +2 charge,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-10",2023.01.29,,,,,,PP,,CCCDCC CCCDCC,2,
,x,PP,Piperizine head +2 charge,PP,SOPP,CCCC,CDCC,,C18:0/18:1,C18:0/18:1,Piperizine head +2 charge,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-11",2023.01.30,,,,,,PP,,CCCC CDCC,2,
,x,PP,Piperizine head +2 charge,PP,SLPP,CCCC,CDDC,,C18:0/18:2,C18:0/18:2,Piperizine head +2 charge,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-12",2023.01.31,,,,,,PP,,CCCC CDDC,2,
,x,PP,Piperizine head +2 charge,PP,OLPP,CDCC,CDDC,,C18:1/18:2,C18:1/18:2,Piperizine head +2 charge,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-13",2023.01.32,,,,,,PP,,CDCC CDDC,2,
,x,PP,Piperizine head +2 charge,PP,OEPP,CDCC,CCDCC,,C18:1/22:1,C18:1/22:1,Piperizine head +2 charge,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-14",2023.01.33,,,,,,PP,,CDCC CCDCC,2,
,x,PP,Piperizine head +2 charge,PP,LFPP,CDDC,CDDD,,C18:2/18:3,C18:2/18:3,Piperizine head +2 charge,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-15",2023.01.34,,,,,,PP,,CDDC CDDD,2,
,x,PP,Piperizine head +2 charge,PP,DUPP,CDDC,CDDC,,C18:2/18:3,C18:2/18:3,Piperizine head +2 charge,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-15",2023.01.34,,,,,,PP,,CDDC CDDC,2,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,DESCRIPTION,,,,,,,,,,,,,,,,,,,,,,,
,-1,martini_v3.0_ILs_AE_dev_v1.itp,Tertiary amine with a carbon linker to a single ester branching out -neutral,Collection of Ionizable Martini 3 lipids,,,,,,,,,,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-3",,Lisbeth Ravnkilde,22-Jan-2023 by Lisbeth,,,,,,,,
,x,AE,Tertiary amine with a carbon linker to a single ester branching out -neutral,AE,DLAE,CCC,CCC,,di-C14:0,di-C14:0,Tertiary amine with a carbon linker to a single ester branching out -neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-3",2023.01.22,,,,,,AE,,CCC CCC,0,
,x,AE,Tertiary amine with a carbon linker to a single ester branching out -neutral,AE,DSAE,CCCC,CCCC,,di-C18:0,di-C18:0,Tertiary amine with a carbon linker to a single ester branching out -neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-4",2023.01.23,,,,,,AE,,CCCC CCCC,0,
,x,AE,Tertiary amine with a carbon linker to a single ester branching out -neutral,AE,DBAE,CCCCC,CCCCC,,di-C22:0,di-C22:0,Tertiary amine with a carbon linker to a single ester branching out -neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-5",2023.01.24,,,,,,AE,,CCCCC CCCCC,0,
,x,AE,Tertiary amine with a carbon linker to a single ester branching out -neutral,AE,DOAE,CDCC,CDCC,,di-C18:1,di-C18:1,Tertiary amine with a carbon linker to a single ester branching out -neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-6",2023.01.25,,,,,,AE,,CDCC CDCC,0,
,x,AE,Tertiary amine with a carbon linker to a single ester branching out -neutral,AE,DVAE,CCDC,CCDC,,di-C18:1,di-C18:1,Tertiary amine with a carbon linker to a single ester branching out -neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-7",2023.01.26,,,,,,AE,,CCDC CCDC,0,
,x,AE,Tertiary amine with a carbon linker to a single ester branching out -neutral,AE,DEAE,CCDCC,CCDCC,,di-C22:1,di-C22:1,Tertiary amine with a carbon linker to a single ester branching out -neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-8",2023.01.27,,,,,,AE,,CCDCC CCDCC,0,
,x,AE,Tertiary amine with a carbon linker to a single ester branching out -neutral,AE,DNAE,CCCDCC,CCCDCC,,di-C24:1,di-C24:1 Collection of Ionizable Martini 3 lipids  (DNAE),Tertiary amine with a carbon linker to a single ester branching out -neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-10",2023.01.29,,,,,,AE,,CCCDCC CCCDCC,0,
,x,AE,Tertiary amine with a carbon linker to a single ester branching out -neutral,AE,SOAE,CCCC,CDCC,,C18:0/18:1,C18:0/18:1,Tertiary amine with a carbon linker to a single ester branching out -neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-11",2023.01.30,,,,,,AE,,CCCC CDCC,0,
,x,AE,Tertiary amine with a carbon linker to a single ester branching out -neutral,AE,SLAE,CCCC,CDDC,,C18:0/18:2,C18:0/18:2,Tertiary amine with a carbon linker to a single ester branching out -neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-12",2023.01.31,,,,,,AE,,CCCC CDDC,0,
,x,AE,Tertiary amine with a carbon linker to a single ester branching out -neutral,AE,OLAE,CDCC,CDDC,,C18:1/18:2,C18:1/18:2,Tertiary amine with a carbon linker to a single ester branching out -neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-13",2023.01.32,,,,,,AE,,CDCC CDDC,0,
,x,AE,Tertiary amine with a carbon linker to a single ester branching out -neutral,AE,OEAE,CDCC,CCDCC,,C18:1/22:1,C18:1/22:1,Tertiary amine with a carbon linker to a single ester branching out -neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-14",2023.01.33,,,,,,AE,,CDCC CCDCC,0,
,x,AE,Tertiary amine with a carbon linker to a single ester branching out -neutral,AE,LFAE,CDDC,CDDD,,C18:2/18:3,C18:2/18:3,Tertiary amine with a carbon linker to a single ester branching out -neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-15",2023.01.34,,,,,,AE,,CDDC CDDD,0,
,x,AE,Tertiary amine with a carbon linker to a single ester branching out -neutral,AE,DUAE,CDDC,CDDC,,C18:2/18:3,C18:2/18:3,Tertiary amine with a carbon linker to a single ester branching out -neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-15",2023.01.34,,,,,,AE,,CDDC CDDC,0,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,DESCRIPTION,,,,,,,,,,,,,,,,,,,,,,,
,-1,martini_v3.0_ILs_AP_dev_v1.itp,Tertiary amine with a carbon linker to a single ester branching out -charged,Collection of Ionizable Martini 3 lipids,,,,,,,,,,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-3",,Lisbeth Ravnkilde,22-Jan-2023 by Lisbeth,,,,,,,,
,x,AP,Tertiary amine with a carbon linker to a single ester branching out -charged,AP,DLAP,CCC,CCC,,di-C14:0,di-C14:0,Tertiary amine with a carbon linker to a single ester branching out -charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-3",2023.01.22,,,,,,AP,,CCC CCC,1,
,x,AP,Tertiary amine with a carbon linker to a single ester branching out -charged,AP,DSAP,CCCC,CCCC,,di-C18:0,di-C18:0,Tertiary amine with a carbon linker to a single ester branching out -charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-4",2023.01.23,,,,,,AP,,CCCC CCCC,1,
,x,AP,Tertiary amine with a carbon linker to a single ester branching out -charged,AP,DBAP,CCCCC,CCCCC,,di-C22:0,di-C22:0,Tertiary amine with a carbon linker to a single ester branching out -charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-5",2023.01.24,,,,,,AP,,CCCCC CCCCC,1,
,x,AP,Tertiary amine with a carbon linker to a single ester branching out -charged,AP,DOAP,CDCC,CDCC,,di-C18:1,di-C18:1,Tertiary amine with a carbon linker to a single ester branching out -charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-6",2023.01.25,,,,,,AP,,CDCC CDCC,1,
,x,AP,Tertiary amine with a carbon linker to a single ester branching out -charged,AP,DVAP,CCDC,CCDC,,di-C18:1,di-C18:1,Tertiary amine with a carbon linker to a single ester branching out -charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-7",2023.01.26,,,,,,AP,,CCDC CCDC,1,
,x,AP,Tertiary amine with a carbon linker to a single ester branching out -charged,AP,DEAP,CCDCC,CCDCC,,di-C22:1,di-C22:1,Tertiary amine with a carbon linker to a single ester branching out -charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-8",2023.01.27,,,,,,AP,,CCDCC CCDCC,1,
,x,AP,Tertiary amine with a carbon linker to a single ester branching out -charged,AP,DNAP,CCCDCC,CCCDCC,,di-C24:1,di-C24:1 Collection of Ionizable Martini 3 lipids with a MC3 headgroup  (DNAP),Tertiary amine with a carbon linker to a single ester branching out -charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-10",2023.01.29,,,,,,AP,,CCCDCC CCCDCC,1,
,x,AP,Tertiary amine with a carbon linker to a single ester branching out -charged,AP,SOAP,CCCC,CDCC,,C18:0/18:1,C18:0/18:1,Tertiary amine with a carbon linker to a single ester branching out -charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-11",2023.01.30,,,,,,AP,,CCCC CDCC,1,
,x,AP,Tertiary amine with a carbon linker to a single ester branching out -charged,AP,SLAP,CCCC,CDDC,,C18:0/18:2,C18:0/18:2,Tertiary amine with a carbon linker to a single ester branching out -charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-12",2023.01.31,,,,,,AP,,CCCC CDDC,1,
,x,AP,Tertiary amine with a carbon linker to a single ester branching out -charged,AP,OLAP,CDCC,CDDC,,C18:1/18:2,C18:1/18:2,Tertiary amine with a carbon linker to a single ester branching out -charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-13",2023.01.32,,,,,,AP,,CDCC CDDC,1,
,x,AP,Tertiary amine with a carbon linker to a single ester branching out -charged,AP,OEAP,CDCC,CCDCC,,C18:1/22:1,C18:1/22:1,Tertiary amine with a carbon linker to a single ester branching out -charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-14",2023.01.33,,,,,,AP,,CDCC CCDCC,1,
,x,AP,Tertiary amine with a carbon linker to a single ester branching out -charged,AP,LFAP,CDDC,CDDD,,C18:2/18:3,C18:2/18:3,Tertiary amine with a carbon linker to a single ester branching out -charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-15",2023.01.34,,,,,,AP,,CDDC CDDD,1,
,x,AP,Tertiary amine with a carbon linker to a single ester branching out -charged,AP,DUAP,CDDC,CDDC,,C18:2/18:3,C18:2/18:3,Tertiary amine with a carbon linker to a single ester branching out -charged,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-15",2023.01.34,,,,,,AP,,CDDC CDDC,1,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,DESCRIPTION,,,,,,,,,,,,,,,,,,,,,,,
,-1,martini_v3.0_ILs_MC3_dev_v1.itp,MC3 headgroup IL - Neutral,Collection of Ionizable Martini 3 lipids with a MC3 headgroup,,,,,,,,,,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-3",,Lisbeth Ravnkilde,22-Jan-2023 by Lisbeth,,,,,,,,
,x,M3,MC3 headgroup IL - Neutral,M3,DLM3,CCC,CCC,,di-C14:0,di-C14:0,MC3 headgroup IL - Neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-3",2023.01.22,,,,,,M3,,CCC CCC,0,
,x,M3,MC3 headgroup IL - Neutral,M3,DSM3,CCCC,CCCC,,di-C18:0,di-C18:0,MC3 headgroup IL - Neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-4",2023.01.23,,,,,,M3,,CCCC CCCC,0,
,x,M3,MC3 headgroup IL - Neutral,M3,DBM3,CCCCC,CCCCC,,di-C22:0,di-C22:0,MC3 headgroup IL - Neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-5",2023.01.24,,,,,,M3,,CCCCC CCCCC,0,
,x,M3,MC3 headgroup IL - Neutral,M3,DOM3,CDCC,CDCC,,di-C18:1,di-C18:1,MC3 headgroup IL - Neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-6",2023.01.25,,,,,,M3,,CDCC CDCC,0,
,x,M3,MC3 headgroup IL - Neutral,M3,DVM3,CCDC,CCDC,,di-C18:1,di-C18:1,MC3 headgroup IL - Neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-7",2023.01.26,,,,,,M3,,CCDC CCDC,0,
,x,M3,MC3 headgroup IL - Neutral,M3,DEM3,CCDCC,CCDCC,,di-C22:1,di-C22:1,MC3 headgroup IL - Neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-8",2023.01.27,,,,,,M3,,CCDCC CCDCC,0,
,x,M3,MC3 headgroup IL - Neutral,M3,DNM3,CCCDCC,CCCDCC,,di-C24:1,di-C24:1 Collection of Ionizable Martini 3 lipids with a MC3 headgroup - charged (DNM3),MC3 headgroup IL - Neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-10",2023.01.29,,,,,,M3,,CCCDCC CCCDCC,0,
,x,M3,MC3 headgroup IL - Neutral,M3,SOM3,CCCC,CDCC,,C18:0/18:1,C18:0/18:1,MC3 headgroup IL - Neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-11",2023.01.30,,,,,,M3,,CCCC CDCC,0,
,x,M3,MC3 headgroup IL - Neutral,M3,SLM3,CCCC,CDDC,,C18:0/18:2,C18:0/18:2,MC3 headgroup IL - Neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-12",2023.01.31,,,,,,M3,,CCCC CDDC,0,
,x,M3,MC3 headgroup IL - Neutral,M3,OLM3,CDCC,CDDC,,C18:1/18:2,C18:1/18:2,MC3 headgroup IL - Neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-13",2023.01.32,,,,,,M3,,CDCC CDDC,0,
,x,M3,MC3 headgroup IL - Neutral,M3,OEM3,CDCC,CCDCC,,C18:1/22:1,C18:1/22:1,MC3 headgroup IL - Neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-14",2023.01.33,,,,,,M3,,CDCC CCDCC,0,
,x,M3,MC3 headgroup IL - Neutral,M3,LFM3,CDDC,CDDD,,C18:2/18:3,C18:2/18:3,MC3 headgroup IL - Neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-15",2023.01.34,,,,,,M3,,CDDC CDDD,0,
,x,M3,MC3 headgroup IL - Neutral,M3,DUM3,CDDC,CDDC,,C18:2/18:3,C18:2/18:3,MC3 headgroup IL - Neutral,,This topology follows the standard Martini 3.0 lipid definitions and building block rules.,"L. Kjølbye et al. Ionizable Lipids, TBD and K.B. Pedersen et al.  TBD Martini 3 lipids TBD and P.C.T. Souza et al. Martini 3: a general purpose force field for coarse-grained molecular dynamics, \n Nat. Methods; 2021. doi: 10.1038/s41592-021-01098-15",2023.01.34,,,,,,M3,,CDDC CDDC,0,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,DESCRIPTION,,,,,,,,,,,,,,,,,,,,,,,
